hour,demand
2586,672.3467137018681
2587,639.2827516505579
2588,657.8905824551595
2589,679.9570320951669
2590,742.5717891279853
2591,888.8894579169198
2592,1230.6107144333173
2593,1710.4439278390037
2594,1609.2755174557815
2595,1530.6852399479292
2596,1463.151599497666
2597,1394.80612688325
2598,1341.8710127137763
2599,1313.0356639737824
2600,1305.6259726185838
2601,1328.0504716262124
2602,1358.1978811259671
2603,1417.9959096347516
2604,1465.4666890617136
2605,1466.7586734405209
2606,1451.433919005329
2607,1386.4923164595273
2608,1233.2935300401973
2609,911.1419451040026
2610,744.5807875299174
2611,708.0544324564964
2612,728.6424510640729
2613,753.2303774667378
2614,822.6433678866953
2615,984.0717933618789
2616,1362.3951226417182
2617,1536.8572055108853
2618,1445.3839560823103
2619,1374.8355505424431
2620,1314.320455601038
2621,1252.9689866131032
2622,1205.6421292141936
2623,1179.9678397181015
2624,1173.4315677635245
2625,1193.7246130455262
2626,1221.13824067805
2627,1275.1976291579128
2628,1318.3484478902722
2629,1320.2142770071728
2630,1307.046888406469
2631,1248.7122268598634
2632,1110.4148167113472
2633,819.2271130621871
2634,668.7416655115707
2635,635.681684224625
2636,654.1566082276246
2637,676.132920873594
2638,738.4263974244124
2639,884.0880195938831
2640,1223.9193548459273
2641,1243.9405288090097
2642,1168.9738227015625
2643,1111.9766054336822
2644,1063.287791006586
2645,1013.7014544929846
2646,975.7857608910643
2647,955.2842533554103
2648,950.1784150914815
2649,966.8980161673967
2650,989.6964686534394
2651,1034.093507666178
2652,1069.8768917166105
2653,1072.390222373758
2654,1062.552154143217
2655,1015.3872771908959
2656,902.409977147456
2657,663.7223830953584
2658,540.4203352976182
2659,513.2597287810808
2660,528.1958355182736
2661,545.6658500391526
2662,595.8420940977735
2663,714.8293657725943
2664,989.9165202657233
2665,1116.2704595226994
2666,1049.178024162908
2667,998.0145801992643
2668,954.3566064496804
2669,909.7903929496972
2670,875.72878429036
2671,857.1674293477349
2672,852.6443729565386
2673,867.7018277301227
2674,888.3312192121349
2675,928.1710658312775
2676,960.365182367819
2677,962.3780161392289
2678,953.2866074063679
2679,911.0474818054205
2680,809.7077358149356
2681,595.2623138679752
2682,484.4003292569463
2683,460.0570764885915
2684,473.5135462034999
2685,488.8873734031855
2686,533.6393110649725
2687,640.8146799363466
2688,887.8251301354367
2689,1047.9234849032302
2690,985.5039731841064
2691,937.4424448683353
2692,896.303445299035
2693,854.4386460158466
2694,822.2684424296663
2695,804.7211043385304
2696,800.3799507145266
2697,814.336257647606
2698,833.3678493400895
2699,870.3943748476811
2700,900.1208374664221
2701,901.4716306566944
2702,892.4920802831451
2703,852.7554565285476
2704,758.1641479231198
2705,558.5407552126212
2706,455.3420633322429
2707,432.7698916116633
2708,445.4037254180739
2709,460.0688447282826
2710,502.34049787333055
2711,602.5824792775991
2712,834.186384368645
2713,948.0174861586343
2714,891.5439827793803
2715,848.07028404165
2716,810.8842545472401
2717,772.99664795649
2718,743.9121020108361
2719,728.0078205808684
2720,724.1082363078983
2721,736.7700866357324
2722,754.0792758366299
2723,787.6228149881489
2724,814.5940428652999
2725,815.8067679229567
2726,807.6544050447515
2727,771.7273227984308
2728,686.0951479325944
2729,505.230075185151
2730,411.70925363143203
2731,391.27761549029566
2732,402.7207294075439
2733,415.8827811070706
2734,454.0409752725069
2735,544.940344653968
2736,754.4877899784818
2737,826.4954751665273
2738,777.152804026559
2739,739.2684731055
2740,706.8970841681374
2741,673.8694251273101
2742,648.5686022965756
2743,634.7225099189429
2744,631.354546494495
2745,642.4434139066241
2746,657.6441607406816
2747,686.9856127018146
2748,710.630821206499
2749,711.7977138886478
2750,704.7695746656317
2751,673.4584965147945
2752,598.6563012898524
2753,440.51219127188557
2754,358.7382672054193
2755,340.8777184568726
2756,350.85729969228123
2757,362.2540991994484
2758,395.46512364189766
2759,474.9421551142636
2760,657.6292337162453
2761,921.250121200635
2762,866.3338565811002
2763,824.0945163607148
2764,787.9703733149315
2765,751.1574434782634
2766,722.9127636752359
2767,707.4672925362073
2768,703.680052992168
2769,715.9972097699654
2770,732.8390984469595
2771,765.4685986908466
2772,791.7070110799399
2773,792.9184382909806
2774,785.0213244767078
2775,750.1034256350847
2776,666.8490714224865
2777,490.981626449807
2778,400.04750263608435
2779,380.18134398811725
2780,391.2994497901968
2781,404.08585852858744
2782,441.1707296499127
2783,529.5509762772664
2784,733.1706435022472
2785,1022.3326654087264
2786,961.1754124704449
2787,914.3115423437634
2788,874.238631551327
2789,833.425219361801
2790,802.1370309327133
2791,785.1183887400967
2792,780.9186892689074
2793,794.5927960274182
2794,813.2704460152478
2795,849.5397256096104
2796,878.7324833675349
2797,880.3452633641518
2798,871.8418292865103
2799,833.0802396196711
2800,740.5442643340951
2801,545.1263334021238
2802,444.1291663001544
2803,421.99817707015603
2804,434.30965966059824
2805,448.59385543965755
2806,489.8122139922986
2807,587.7591806263598
2808,813.7102974806604
2809,995.8054942271275
2810,935.6459028193457
2811,890.049355591193
2812,851.1609426908931
2813,811.4639637918121
2814,781.2043573956472
2815,764.818568841068
2816,760.8030505774931
2817,774.2728433515714
2818,792.7385480688754
2819,828.4288004041902
2820,857.3107291207817
2821,859.4977698122772
2822,851.7411369646236
2823,814.0068374398213
2824,723.3070620100807
2825,531.4011704070844
2826,432.2614413471631
2827,410.4514686330981
2828,422.4194692263919
2829,436.23896069527217
2830,476.295595623583
2831,572.0566742498711
2832,792.2241543797556
2833,1026.5357630078765
2834,964.779437616415
2835,917.7409655018403
2836,877.6252611456607
2837,836.6419092176427
2838,805.3539204922592
2839,788.2965926675747
2840,784.1631658317309
2841,798.0415295313218
2842,817.0909626582536
2843,853.784447985284
2844,883.4779622048032
2845,885.3975266035443
2846,877.0846802211584
2847,838.24800238729
2848,744.9571572399294
2849,547.4426115374454
2850,445.3330161025264
2851,422.9213480579367
2852,435.2995711220675
2853,449.3796385030547
2854,490.4967667642703
2855,589.2429690244803
2856,816.3762767670512
2857,946.1511892130342
2858,889.7245474905291
2859,846.3429638227666
2860,809.2377915978298
2861,771.4376314391166
2862,742.4318390081347
2863,726.5991022056519
2864,722.7105394912962
2865,735.350039622944
2866,752.6275630900475
2867,786.12575093267
2868,813.0708881940192
2869,814.3681633507755
2870,806.3140335454495
2871,770.4492040881029
2872,684.9314392421985
2873,504.32632817789073
2874,410.9563136899498
2875,390.54291945725237
2876,401.954993954309
2877,415.12068351749303
2878,453.23207820133143
2879,543.9484655039663
2880,753.0539612013315
2881,981.1292910548779
2882,922.7069169143417
2883,877.7106649607637
2884,839.2127601628232
2885,800.0022654483995
2886,769.8882866949592
2887,753.4250302572236
2888,749.3787311454797
2889,762.4696777789411
2890,780.3514140977702
2891,815.0435296818664
2892,842.9208552277425
2893,844.1495913962241
2894,835.6943925509775
2895,798.508069309208
2896,709.9233090261728
2897,522.8664386427761
2898,426.1451061764537
2899,405.01129502087446
2900,416.85229904988165
2901,430.49972208598626
2902,470.0095780421525
2903,564.0130011508184
2904,780.8807546801506
2905,926.5099853809937
2906,871.2626029221267
2907,828.7828691849237
2908,792.4563182689893
2909,755.4345383312894
2910,727.0340746729959
2911,711.5057415664869
2912,707.6993065906385
2913,720.0910318565893
2914,737.0366561974714
2915,769.8620888850434
2916,796.263565108246
2917,797.5001073142178
2918,789.5737959161798
2919,754.4585734147702
2920,670.71330836951
2921,493.7970089156072
2922,402.3214218380064
2923,382.33333161137125
2924,393.51439832147486
2925,406.3699795373284
2926,443.6611907129793
2927,532.5513528679924
2928,737.340829619923
2929,981.0568908555368
2930,922.6180690957958
2931,877.6292270066403
2932,839.1362168114074
2933,799.934379431454
2934,769.831613387451
2935,753.3774797015525
2936,749.3251626672221
2937,762.417985471148
2938,780.2948573998724
2939,815.0009835276167
2940,842.8773611975657
2941,844.1200655766569
2942,835.6778796854071
2943,798.4847937913817
2944,709.8949777328734
2945,522.8382473306569
2946,426.1208276881691
2947,404.98586347006
2948,416.8223742186488
2949,430.4861560867238
2950,470.0137448949691
2951,564.0030089578773
2952,780.8429219537298
2953,1014.8424705830286
2954,954.1280278342505
2955,907.6084797454462
2956,867.8321449243172
2957,827.3176646351109
2958,796.2618175822441
2959,779.3686718850826
2960,775.2021444300267
2961,788.7790368113963
2962,807.327136043718
2963,843.3358829548466
2964,872.3228945395364
2965,873.9298229833375
2966,865.4927696234759
2967,827.0161077854546
2968,735.1493734789278
2969,541.1347506931224
2970,440.86261747421713
2971,418.89125465218393
2972,431.1129384791083
2973,445.2866906015068
2974,486.19889688787003
2975,583.4446759368408
2976,807.7397095187097
2977,998.7461430047464
2978,938.4107562888403
2979,892.6791940238704
2980,853.6748384495098
2981,813.8606755624213
2982,783.5105698510847
2983,767.0761174361149
2984,763.047842373055
2985,776.5563201625273
2986,795.07384054773
2987,830.8675946864881
2988,859.8318230811791
2989,862.0231827654637
2990,854.2422045566652
2991,816.396140431025
2992,725.4317326396998
2993,532.969600036825
2994,433.542604238598
2995,411.6691099119729
2996,423.6722971641602
2997,437.53475997164753
2998,477.71120568465005
2999,573.7488285330991
3000,794.5668152390331
3001,990.9609194154269
3002,931.3222734910989
3003,885.9185020269306
3004,847.2058293224784
3005,807.6427328080129
3006,777.4527898959612
3007,760.9908811097166
3008,757.0109083484022
3009,770.4207518203555
3010,788.840920102786
3011,824.2849698939048
3012,852.9838892320234
3013,854.863364788129
3014,846.8568917145126
3015,809.3691798009614
3016,719.2733356867817
3017,528.4826186410569
3018,429.84865769021053
3019,408.20350837848116
3020,420.15423291911645
3021,433.72304480270043
3022,473.3997204785003
3023,568.7962130941527
3024,788.0516630446915
3025,881.300175900289
3026,828.6997054812063
3027,788.298602300196
3028,753.7600827105911
3029,718.5495369177889
3030,691.5556400747435
3031,676.8129433726017
3032,673.209832838174
3033,685.0069213628293
3034,701.1581956513227
3035,732.4016352697378
3036,757.5645267656834
3037,758.8180020584936
3038,751.346284058511
3039,717.9484876951966
3040,638.224640489554
3041,469.7736581885352
3042,382.68433604398143
3043,363.649410952322
3044,374.2828583651108
3045,386.4981736938202
3046,421.960993762181
3047,506.5858533508804
3048,701.3598755538478
3049,846.1010505837435
3050,795.6363228572521
3051,756.8467548920516
3052,723.6936006799706
3053,689.8771139312962
3054,663.9550230360949
3055,649.7676866399087
3056,646.3158161244212
3057,657.6525120465452
3058,673.188196954634
3059,703.1878009192196
3060,727.3568379687005
3061,728.5069984246466
3062,721.2766739509492
3063,689.2253159394484
3064,612.6973025784661
3065,450.93746726843455
3066,367.29121073781903
3067,349.0247815015255
3068,359.2431278854941
3069,370.91776494238405
3070,404.91868237302583
3071,486.23567536627166
3072,673.2579648723947
3073,811.354746738413
3074,762.9074554852152
3075,725.7184981479447
3076,693.9451683177476
3077,661.5220594699986
3078,636.6896233753259
3079,623.0976816555395
3080,619.7955678414658
3081,630.6865844589034
3082,645.6216377519139
3083,674.4344386697555
3084,697.6605326923062
3085,698.8149791324549
3086,691.921351571695
3087,661.186138335551
3088,587.7400706495208
3089,432.4443877500008
3090,352.1424391632521
3091,334.6045523227603
3092,344.40224141071
3093,355.5790855894017
3094,388.1728570598289
3095,466.22107425949093
3096,645.5629945985966
3097,745.2234982122496
3098,700.7088681922318
3099,666.555017982411
3100,637.3870330963391
3101,607.6030366406411
3102,584.8075924956119
3103,572.3192080388168
